AGENCY #,AGENCY TITLE,CLASSIFICATION,SERVICE TYPE,FULL/PART-TIME,ANNUAL SALARY
58030,OUS - Oregon State University,Veterinary Technician 2,Classified Staff,Full-Time,$32544.00
58030,OUS - Oregon State University,Veterinary Technician 2,Classified Staff,Full-Time,$32544.00
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,$32544.00
58030,OUS - Oregon State University,Bio Science Research Tech 2,Classified Staff,Full-Time,$32544.00
58030,OUS - Oregon State University,Warehouse Worker,Classified Staff,Full-Time,$32544.00
58030,OUS - Oregon State University,Transporter,Classified Staff,Full-Time,$32544.00
58030,OUS - Oregon State University,Custodian,Classified Staff,Full-Time,$32544.00
58030,OUS - Oregon State University,Campus Sec/Public Sfty Officer,Classified Staff,Full-Time,$32544.00
58030,OUS - Oregon State University,Laborer 1,Classified Staff,Full-Time,$32544.00
58030,OUS - Oregon State University,Office Specialist 1,Classified Staff,Full-Time,$32544.00
58030,OUS - Oregon State University,Library Technician 2,Classified Staff,Full-Time,$32544.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$32544.00
58030,OUS - Oregon State University,Warehouse Worker,Classified Staff,Full-Time,$32544.00
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,$32544.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$32544.00
58030,OUS - Oregon State University,Warehouse Coordinator,Classified Staff,Full-Time,$32544.00
58030,OUS - Oregon State University,Assistant Professor (Sr Res),Faculty,Full-Time,$32502.00
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,$32487.00
58030,OUS - Oregon State University,Laboratory Animal Technician 1,Classified Staff,Full-Time,$32472.00
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Full-Time,$32448.00
58030,OUS - Oregon State University,Assistant Professor (Sr Res),Faculty,Full-Time,$32424.00
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Full-Time,$32424.00
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Full-Time,$32400.00
58030,OUS - Oregon State University,Info Technology Consultant,Classified Staff,Full-Time,$32326.00
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,$32297.00
58030,OUS - Oregon State University,Coordinator-Academic Program 2,Other professionals,Full-Time,$32250.00
58030,OUS - Oregon State University,Education Program Assistant 2,Classified Staff,Full-Time,$32247.00
58030,OUS - Oregon State University,Consultant-Admissions Advisor,Other professionals,Full-Time,$32244.00
58030,OUS - Oregon State University,Consultant-Admissions Advisor,Other professionals,Full-Time,$32244.00
58030,OUS - Oregon State University,Senior Faculty Research Asst I,Faculty,Full-Time,$32214.00
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Full-Time,$32148.00
58030,OUS - Oregon State University,Coordinator-Non Rev Asst COA,Other professionals,Full-Time,$32136.00
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Full-Time,$32136.00
58030,OUS - Oregon State University,Assistant Professor (Sr Res),Faculty,Part-Time,$32034.00
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,$32031.00
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,$32027.00
58030,OUS - Oregon State University,Veterinary Technician 2,Classified Staff,Full-Time,$32027.00
58030,OUS - Oregon State University,Consultant-HR Tech,Other professionals,Full-Time,$32004.00
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Full-Time,$32004.00
58030,OUS - Oregon State University,Specialist 1-Ext Relations,Other professionals,Part-Time,$32002.00
58030,OUS - Oregon State University,Consultant-Admissions Advisor,Other professionals,Full-Time,$31944.00
58030,OUS - Oregon State University,Coordinator-Academic Program 1,Other professionals,Full-Time,$31944.00
58030,OUS - Oregon State University,Education Program Assistant 1,Classified Staff,Full-Time,$31918.00
58030,OUS - Oregon State University,Coordinator-Resident Director,Other professionals,Full-Time,$31896.00
58030,OUS - Oregon State University,Coordinator-Resident Director,Other professionals,Full-Time,$31896.00
58030,OUS - Oregon State University,Coordinator-Resident Director,Other professionals,Full-Time,$31896.00
58030,OUS - Oregon State University,Coordinator-Resident Director,Other professionals,Full-Time,$31896.00
58030,OUS - Oregon State University,Coordinator-Resident Director,Other professionals,Full-Time,$31896.00
58030,OUS - Oregon State University,Research Associate,Faculty,Part-Time,$31852.00
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,$31802.00
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Full-Time,$31800.00
58030,OUS - Oregon State University,Instructor,Faculty,Part-Time,$31680.00
58030,OUS - Oregon State University,Senior Faculty Research Asst I,Faculty,Full-Time,$31534.00
58030,OUS - Oregon State University,Senior Faculty Research Asst I,Faculty,Full-Time,$31514.00
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,$31504.00
58030,OUS - Oregon State University,Coordinator-Outreach Program,Other professionals,Full-Time,$31500.00
58030,OUS - Oregon State University,Equipment Systems Specialist,Classified Staff,Full-Time,$31416.00
58030,OUS - Oregon State University,Associate Professor (Sr Res),Faculty,Part-Time,$31315.00
58030,OUS - Oregon State University,Research Associate (Post Doc),Faculty,Full-Time,$31200.00
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Full-Time,$31200.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$31158.00
58030,OUS - Oregon State University,Cook 1,Classified Staff,Full-Time,$31158.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$31158.00
58030,OUS - Oregon State University,Trades/Maintenance Worker 2,Classified Staff,Full-Time,$31158.00
58030,OUS - Oregon State University,Baker,Classified Staff,Full-Time,$31158.00
58030,OUS - Oregon State University,Education Program Assistant 1,Classified Staff,Full-Time,$31158.00
58030,OUS - Oregon State University,Medical Aide,Classified Staff,Full-Time,$31158.00
58030,OUS - Oregon State University,Food Service Worker 3,Classified Staff,Full-Time,$31158.00
58030,OUS - Oregon State University,Cook 1,Classified Staff,Full-Time,$31158.00
58030,OUS - Oregon State University,Food Service Worker 3,Classified Staff,Full-Time,$31158.00
58030,OUS - Oregon State University,Property Specialist 3,Classified Staff,Full-Time,$31158.00
58030,OUS - Oregon State University,Food Service Worker 3,Classified Staff,Full-Time,$31158.00
58030,OUS - Oregon State University,Medical Laboratory Tech 1,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Accounting Technician,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Administrative Program Spec,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Library Technician 3,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Administrative Program Spec,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Management Analyst 1,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Environ Health Safety Pro 1,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Environ Health Safety Pro 1,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Environ Health Safety Pro 1,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Education Program Assistant 1,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Campus Sec/Public Sfty Officer,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Videographer 1,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Bio Science Research Tech 2,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Property Specialist 1,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Administrative Program Spec,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Office Specialist 1,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Campus Dispatcher,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Trades/Maintenance Worker 2,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Accounting Technician,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Trades/Maintenance Worker 2,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Bio Science Research Tech 2,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Library Technician 1,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Custodian,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Education Program Assistant 1,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Office Specialist 1,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Office Specialist 1,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Office Assistant,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Library Technician 2,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Laboratory Animal Technician 2,Classified Staff,Full-Time,$31152.00
58030,OUS - Oregon State University,Seed Analyst 2,Classified Staff,Full-Time,$31132.00
58030,OUS - Oregon State University,Bio Science Research Tech 2,Classified Staff,Full-Time,$31132.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$31132.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$31132.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$31132.00
58030,OUS - Oregon State University,Instructor- ESL,Faculty,Full-Time,$31075.00
58030,OUS - Oregon State University,Registered Nurse 1,Classified Staff,Full-Time,$30925.00
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Full-Time,$30915.00
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Full-Time,$30915.00
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,$30915.00
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,$30908.00
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,$30908.00
58030,OUS - Oregon State University,Assistant Professor,Faculty,Full-Time,$30906.00
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,$30902.00
58030,OUS - Oregon State University,Administrator 2-Acad Programs,Executive/Admin and managerial,Full-Time,$30900.00
58030,OUS - Oregon State University,Specialist 2-Aquatic Husbandry,Other professionals,Full-Time,$30900.00
58030,OUS - Oregon State University,Coordinator-Non Rev Asst COA,Other professionals,Full-Time,$30900.00
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Full-Time,$30900.00
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,$30852.00
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,$30852.00
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Full-Time,$30830.00
58030,OUS - Oregon State University,Coordinator-Academic Program 1,Other professionals,Full-Time,$30708.00
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Full-Time,$30662.00
58030,OUS - Oregon State University,Microbiologist 2,Classified Staff,Part-Time,$30585.00
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,$30576.00
58030,OUS - Oregon State University,Education Program Assistant 2,Classified Staff,Full-Time,$30576.00
58030,OUS - Oregon State University,Senior Graphic Designer,Classified Staff,Full-Time,$30576.00
58030,OUS - Oregon State University,Accountant 1,Classified Staff,Full-Time,$30576.00
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,$30534.00
58030,OUS - Oregon State University,Assistant Professor (Sr Res),Faculty,Part-Time,$30262.00
58030,OUS - Oregon State University,Coordinator-Res Program,Other professionals,Full-Time,$30190.00
58030,OUS - Oregon State University,Professor,Faculty,Part-Time,$30187.00
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Full-Time,$30024.00
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Full-Time,$30012.00
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,$30006.00
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,$30004.00
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,$30004.00
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,$30002.00
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,$30002.00
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,$30002.00
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,$30002.00
58030,OUS - Oregon State University,Info Technology Consultant,Classified Staff,Full-Time,$30000.00
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Full-Time,$30000.00
58030,OUS - Oregon State University,Specialist 2-Bus & Process,Other professionals,Full-Time,$30000.00
58030,OUS - Oregon State University,Education Program Assistant 1,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Campus Sec/Public Sfty Officer,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Campus Sec/Public Sfty Officer,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Laboratory Animal Technician 2,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Bio Science Research Tech 2,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Bio Science Research Tech 2,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Bio Science Research Tech 2,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Public Information Assistant,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Public Information Assistant,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Accounting Technician,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Property Specialist 3,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Bio Science Research Tech 2,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Custodian,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Vet Central Svcs Tech,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Library Technician 1,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Grounds Maintenance Worker 2,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Grounds Maintenance Worker 2,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Custodian,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Custodial Services Coordinator,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Office Assistant,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Campus Dispatcher,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Public Information Assistant,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,$29976.00
58030,OUS - Oregon State University,Cook 2,Classified Staff,Full-Time,$29972.00
58030,OUS - Oregon State University,Food Service Worker 2,Classified Staff,Full-Time,$29972.00
58030,OUS - Oregon State University,Food Service Worker 3,Classified Staff,Full-Time,$29972.00
58030,OUS - Oregon State University,Property Specialist 2,Classified Staff,Full-Time,$29972.00
58030,OUS - Oregon State University,Food Service Worker 2,Classified Staff,Full-Time,$29972.00
58030,OUS - Oregon State University,Food Service Worker 2,Classified Staff,Full-Time,$29972.00
58030,OUS - Oregon State University,Food Service Worker 2,Classified Staff,Full-Time,$29972.00
58030,OUS - Oregon State University,Food Service Worker 2,Classified Staff,Full-Time,$29972.00
58030,OUS - Oregon State University,Food Service Worker 2,Classified Staff,Full-Time,$29972.00
58030,OUS - Oregon State University,Food Service Worker 2,Classified Staff,Full-Time,$29972.00
58030,OUS - Oregon State University,Cashier 2,Classified Staff,Full-Time,$29972.00
58030,OUS - Oregon State University,Education Program Assistant 1,Classified Staff,Full-Time,$29947.00
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,$29894.00
58030,OUS - Oregon State University,Senior Faculty Research Asst I,Faculty,Full-Time,$29820.00
58030,OUS - Oregon State University,Registered Nurse 1,Classified Staff,Full-Time,$29735.00
58030,OUS - Oregon State University,Senior Instructor I,Faculty,Full-Time,$29712.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$29701.00
58030,OUS - Oregon State University,Education Program Assistant 2,Classified Staff,Full-Time,$29701.00
58030,OUS - Oregon State University,Education Program Assistant 2,Classified Staff,Full-Time,$29701.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$29701.00
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,$29673.00
58030,OUS - Oregon State University,Coordinator-Academic Program 2,Other professionals,Full-Time,$29642.00
58030,OUS - Oregon State University,Senior Faculty Research Asst I,Faculty,Full-Time,$29640.00
58030,OUS - Oregon State University,Instructor (PAC),Faculty,Full-Time,$29619.00
58030,OUS - Oregon State University,Education Program Assistant 1,Classified Staff,Full-Time,$29599.00
58030,OUS - Oregon State University,Coordinator-Outreach Program,Other professionals,Full-Time,$29538.00
58030,OUS - Oregon State University,Manager 1-Retail Food,Executive/Admin and managerial,Full-Time,$29502.00
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Full-Time,$29496.00
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Full-Time,$29496.00
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,$29491.00
58030,OUS - Oregon State University,Coordinator-Academic Program 2,Other professionals,Full-Time,$29464.00
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Full-Time,$29405.00
58030,OUS - Oregon State University,Coordinator-Ext Relations,Other professionals,Part-Time,$29400.00
58030,OUS - Oregon State University,Senior Faculty Research Asst I,Faculty,Full-Time,$29400.00
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Part-Time,$29400.00
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,$29363.00
58030,OUS - Oregon State University,Coordinator-Athletic Program,Other professionals,Full-Time,$29316.00
58030,OUS - Oregon State University,Assistant Professor (Sr Res),Faculty,Part-Time,$29235.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$29188.00
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,$29187.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$29187.00
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,$29187.00
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,$29030.00
58030,OUS - Oregon State University,Coordinator-Rec Sports,Other professionals,Full-Time,$28981.00
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,$28924.00
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,$28924.00
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,$28924.00
